date,low,open,high,volume,close
1980-12-12,0.1283479928970337,0.1283479928970337,0.1289059966802597,469033600,0.1283479928970337
1980-12-12,0.1283479928970337,0.1283479928970337,0.1289059966802597,469033600,0.1283479928970337
1980-12-12,0.1283479928970337,0.1283479928970337,0.1289059966802597,469033600,0.1283479928970337
1980-12-15,0.12165199965238571,0.12221000343561172,0.12221000343561172,175884800,0.12165199965238571
1980-12-15,0.12165199965238571,0.12221000343561172,0.12221000343561172,175884800,0.12165199965238571
1980-12-15,0.12165199965238571,0.12221000343561172,0.12221000343561172,175884800,0.12165199965238571
1980-12-16,0.11272300034761429,0.1132809966802597,0.1132809966802597,105728000,0.11272300034761429
1980-12-16,0.11272300034761429,0.1132809966802597,0.1132809966802597,105728000,0.11272300034761429
1980-12-16,0.11272300034761429,0.1132809966802597,0.1132809966802597,105728000,0.11272300034761429
1980-12-17,0.11551299691200256,0.11551299691200256,0.11607100069522858,86441600,0.11551299691200256
1980-12-17,0.11551299691200256,0.11551299691200256,0.11607100069522858,86441600,0.11551299691200256
1980-12-17,0.11551299691200256,0.11551299691200256,0.11607100069522858,86441600,0.11551299691200256
1980-12-18,0.11886200308799744,0.11886200308799744,0.11941999942064285,73449600,0.11886200308799744
1980-12-18,0.11886200308799744,0.11886200308799744,0.11941999942064285,73449600,0.11886200308799744
1980-12-18,0.11886200308799744,0.11886200308799744,0.11941999942064285,73449600,0.11886200308799744
1980-12-19,0.12611599266529083,0.12611599266529083,0.12667399644851685,48630400,0.12611599266529083
1980-12-19,0.12611599266529083,0.12611599266529083,0.12667399644851685,48630400,0.12611599266529083
1980-12-19,0.12611599266529083,0.12611599266529083,0.12667399644851685,48630400,0.12611599266529083
1980-12-22,0.1322540044784546,0.1322540044784546,0.1328130066394806,37363200,0.1322540044784546
1980-12-22,0.1322540044784546,0.1322540044784546,0.1328130066394806,37363200,0.1322540044784546
1980-12-22,0.1322540044784546,0.1322540044784546,0.1328130066394806,37363200,0.1322540044784546
1980-12-23,0.13783499598503113,0.13783499598503113,0.13839299976825714,46950400,0.13783499598503113
1980-12-23,0.13783499598503113,0.13783499598503113,0.13839299976825714,46950400,0.13783499598503113
1980-12-23,0.13783499598503113,0.13783499598503113,0.13839299976825714,46950400,0.13783499598503113
1980-12-24,0.14508900046348572,0.14508900046348572,0.14564700424671173,48003200,0.14508900046348572
1980-12-24,0.14508900046348572,0.14508900046348572,0.14564700424671173,48003200,0.14508900046348572
1980-12-24,0.14508900046348572,0.14508900046348572,0.14564700424671173,48003200,0.14508900046348572
1980-12-26,0.15848200023174286,0.15848200023174286,0.15904000401496887,55574400,0.15848200023174286
1980-12-26,0.15848200023174286,0.15848200023174286,0.15904000401496887,55574400,0.15848200023174286
1980-12-26,0.15848200023174286,0.15848200023174286,0.15904000401496887,55574400,0.15848200023174286
1980-12-29,0.16071400046348572,0.16071400046348572,0.16127200424671173,93161600,0.16071400046348572
1980-12-29,0.16071400046348572,0.16071400046348572,0.16127200424671173,93161600,0.16071400046348572
1980-12-29,0.16071400046348572,0.16071400046348572,0.16127200424671173,93161600,0.16071400046348572
1980-12-30,0.156808003783226,0.15736599266529083,0.15736599266529083,68880000,0.156808003783226
1980-12-30,0.156808003783226,0.15736599266529083,0.15736599266529083,68880000,0.156808003783226
1980-12-30,0.156808003783226,0.15736599266529083,0.15736599266529083,68880000,0.156808003783226
1980-12-31,0.1523440033197403,0.1529020071029663,0.1529020071029663,35750400,0.1523440033197403
1980-12-31,0.1523440033197403,0.1529020071029663,0.1529020071029663,35750400,0.1523440033197403
1980-12-31,0.1523440033197403,0.1529020071029663,0.1529020071029663,35750400,0.1523440033197403
1981-01-02,0.15401799976825714,0.15401799976825714,0.15513400733470917,21660800,0.15401799976825714
1981-01-02,0.15401799976825714,0.15401799976825714,0.15513400733470917,21660800,0.15401799976825714
1981-01-02,0.15401799976825714,0.15401799976825714,0.15513400733470917,21660800,0.15401799976825714
1981-01-05,0.15067000687122345,0.15122799575328827,0.15122799575328827,35728000,0.15067000687122345
1981-01-05,0.15067000687122345,0.15122799575328827,0.15122799575328827,35728000,0.15067000687122345
1981-01-05,0.15067000687122345,0.15122799575328827,0.15122799575328827,35728000,0.15067000687122345
1981-01-06,0.1439729928970337,0.1445309966802597,0.1445309966802597,45158400,0.1439729928970337
1981-01-06,0.1439729928970337,0.1445309966802597,0.1445309966802597,45158400,0.1439729928970337
1981-01-06,0.1439729928970337,0.1445309966802597,0.1445309966802597,45158400,0.1439729928970337
1981-01-07,0.13783499598503113,0.13839299976825714,0.13839299976825714,55686400,0.13783499598503113
1981-01-07,0.13783499598503113,0.13839299976825714,0.13839299976825714,55686400,0.13783499598503113
1981-01-07,0.13783499598503113,0.13839299976825714,0.13839299976825714,55686400,0.13783499598503113
1981-01-08,0.13504500687122345,0.13560299575328827,0.13560299575328827,39827200,0.13504500687122345
1981-01-08,0.13504500687122345,0.13560299575328827,0.13560299575328827,39827200,0.13504500687122345
1981-01-08,0.13504500687122345,0.13560299575328827,0.13560299575328827,39827200,0.13504500687122345
1981-01-09,0.14229899644851685,0.14229899644851685,0.14285700023174286,21504000,0.14229899644851685
1981-01-09,0.14229899644851685,0.14229899644851685,0.14285700023174286,21504000,0.14229899644851685
1981-01-09,0.14229899644851685,0.14229899644851685,0.14285700023174286,21504000,0.14229899644851685
1981-01-12,0.141183003783226,0.14229899644851685,0.14229899644851685,23699200,0.141183003783226
1981-01-12,0.141183003783226,0.14229899644851685,0.14229899644851685,23699200,0.141183003783226
